Results from heasarc_atnfpulsar: ATNF Pulsar Catalog
Coordinate system:  Equatorial
|name            |ra           |dec          |period               |period_error|period_dot  |period_dot_error|dm        |dm_error|flux_1400_mhz|flux_1400_mhz_error|spect_index|spect_index_error|a1             |a1_error|eccentricity|eccentricity_error|min_mass|median_mass|companion_type|mass_ratio|mass_ratio_error|distance|pulsar_type|age     |b_surf  |transverse_velocity|
|PSR J0555-7056  |05 55 01.8500|-70 56 45.600|0.82783808575        |     7.0e-11| 5.96000e-15|         3.0e-17|  73.40000| 1.60000|        0.210|                   |           |                 |               |        |            |                  |        |           |              |          |                |   49.70|R          |2.20e+06|2.25e+12|                   |
|PSR J1903-7051  |19 03 38.7935|-70 51 43.461|0.0035978980188911   |     1.1e-15| 1.04300e-20|         6.0e-23|  19.66000| 0.01000|        0.600|                   |           |                 |    9.938869000| 2.0e-06|  0.00000203|        0.00000000|  0.2847|     0.3355|He            |          |                |    0.93|HE         |5.46e+09|1.96e+08|              80.51|
|PSR J0045-7042  |00 45 25.6900|-70 42 07.100|0.63233580002        |     6.0e-11| 2.49000e-15|         3.0e-17|  70.00000| 3.00000|        0.110|                   |           |                 |               |        |            |                  |        |           |              |          |                |   59.70|R          |4.02e+06|1.27e+12|                   |
|PSR J0449-7031  |04 49 05.6700|-70 31 31.700|0.479163971291       |     1.4e-11| 3.37100e-15|         4.0e-18|  65.83000| 0.07000|        0.140|                   |           |                 |               |        |            |                  |        |           |              |          |                |   49.70|R          |2.25e+06|1.29e+12|                   |
|PSR J0456-7031  |04 56 02.5000|-70 31 06.600|0.80013207321        |     1.0e-10| 3.67000e-14|         3.0e-17| 100.30000| 0.30000|        0.050|                   |           |                 |               |        |            |                  |        |           |              |          |                |   49.70|R          |3.45e+05|5.48e+12|                   |
|PSR J1902-70    |19 02 00.0000|-70 00 00.000|0.00360              |     0.0e+00|            |                |  19.50000| 0.00000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    0.92|HE         |        |        |                   |
|PSR J0133-6957  |01 33 32.4600|-69 57 29.680|0.463473741703       |     3.0e-12| 1.20000e-16|         2.0e-19|  22.94800| 0.00800|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    2.44|R          |6.12e+07|2.39e+11|                   |
|PSR J1423-6953  |14 23 26.7900|-69 53 42.820|0.333410710172       |     3.0e-12| 1.45130e-15|         6.0e-20| 123.98000| 0.12000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    4.70|R          |3.64e+06|7.04e+11|                   |
|PSR J1409-6953  |14 09 16.9000|-69 53 34.400|0.5285907792         |     3.0e-10| 8.40000e-16|         1.0e-17| 167.63000| 0.30000|        0.300|              0.100|           |                 |               |        |            |                  |        |           |              |          |                |    8.75|R          |9.97e+06|6.74e+11|                   |
|PSR J0455-6951  |04 55 47.5500|-69 51 34.300|0.320422711526       |     1.2e-11| 1.02119e-14|         1.5e-18|  94.89000| 0.14000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |   49.70|R          |4.97e+05|1.83e+12|                   |
